Job_Role,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18
Security Engineer,CI/CD,Nuxt.js,OpenGL,Android,JIRA,Bitbucket,Leadership,Kotlin,Storybook,RESTful API,Webpack,iOS,,,,,,
Blockchain Developer,Athena,Django,GraphQL,SASS,JIRA,Matlab,API Management,Verilog,Superset,Chai,FPGA,Airflow,Bitbucket,,,,,
Fullstack Developer,Emacs,Shell Scripting,DSA,Functional Programming,Scrum,Nuxt.js,GitLab,Testing,RESTful API,JIRA,Math,Flask,Kotlin,Communication,FPGA,,,
Security Engineer,ETL,GitLab,CD,Bitbucket,Mocha,Debugging,Redux,Athena,Nuxt.js,Leadership,Xamarin,Verilog,Snowflake,,,,,
Technical Lead,BigQuery,Superset,Matlab,Analytics,Airflow,CI,Hibernate,Storybook,LESS,PySpark,GraphQL,Nuxt.js,iOS,Communication,Redux,Vulkan,,
Technical Writer,Hibernate,Spring Boot,Matlab,PySpark,BigQuery,Hadoop,Cloud Computing,Testing,AR,ROS,JIRA,FPGA,CI/CD,ElasticSearch,GitLab,iOS,Flask,
Data Engineer,CI/CD,Swift,Looker,Android,Jest,Redux,Simulink,SASS,,,,,,,,,,
Product Manager,Communication,GraphQL,Math,Computer Vision,API Management,Hadoop,TensorRT,CD,Analytics,Mocha,Athena,iOS,ROS,Debugging,Cloud Computing,LLVM,Snowflake,Webpack
Cybersecurity Analyst,Security,GitLab,Leadership,Storybook,Hadoop,VR,CI,OpenGL,SQL,JIRA,Debugging,RESTful API,iOS,Vulkan,ETL,GitHub,SASS,Next.js
AR/VR Developer,Swift,Android,SQL,Linux CLI,CD,Leadership,Bitbucket,Nginx,Confluence,ETL,Superset,Django,,,,,,
Research Engineer,API Management,Computer Vision,Hibernate,Leadership,OOP,System Design,MongoDB,ETL,Redis,GitHub,RESTful API,Mocha,,,,,,
Product Manager,TensorRT,Functional Programming,iOS,SASS,LESS,SQL,Linux CLI,Security,MongoDB,Django,,,,,,,,
IoT Engineer,Spark,API Management,CI/CD,Linux CLI,Chai,Storybook,Kotlin,CD,,,,,,,,,,
Web Developer,Next.js,Android,Jupyter,Redis,Athena,PySpark,ROS,System Design,Kotlin,,,,,,,,,
Backend Developer,OOP,Confluence,GraphQL,Simulink,Flask,RESTful API,Security,CD,Linux CLI,,,,,,,,,
Technical Lead,FPGA,GraphQL,R,NoSQL,Leadership,Airflow,Chai,Apache,API Management,Django,,,,,,,,
Web Developer,Flask,Storybook,Kotlin,MongoDB,ETL,BigQuery,Emacs,Functional Programming,LESS,Apache,CI,,,,,,,
Ethical Hacker,Swift,Kafka,VSCode,R,Testing,BigQuery,Security,Analytics,Emacs,JIRA,Flask,Storybook,Spark,Shell Scripting,Verilog,RESTful API,,
BI Developer,RESTful API,Jupyter,Emacs,FastAPI,Next.js,FPGA,CD,Flask,CI,OOP,VSCode,Jest,,,,,,
Web Developer,SASS,CI,PySpark,Leadership,System Design,Mocha,Kafka,Verilog,iOS,ROS,Redis,Chai,Looker,Math,,,,
Platform Engineer,Mocha,Emacs,FastAPI,GraphQL,Communication,Redux,Hibernate,Storybook,VSCode,Next.js,Bitbucket,,,,,,,
Product Manager,ElasticSearch,ROS,OpenGL,Math,SASS,Nuxt.js,DSA,Webpack,JIRA,Shell Scripting,Leadership,R,Simulink,Linux CLI,Agile,Swift,Functional Programming,
Mobile Developer,Communication,Computer Vision,Xamarin,GitHub,Hadoop,TensorRT,JIRA,RESTful API,FPGA,Bitbucket,Nginx,FastAPI,CI,Cloud Computing,Simulink,,,
QA Engineer,SQL,API Management,TensorRT,Security,Babel,Communication,Spring Boot,Flask,,,,,,,,,,
Embedded Systems Engineer,NoSQL,Athena,Debugging,Nuxt.js,Jest,LLVM,Testing,Kafka,,,,,,,,,,
Data Analyst,MongoDB,CI/CD,Functional Programming,RESTful API,Jest,Django,Security,R,ROS,Apache,FPGA,,,,,,,
Game Designer,GraphQL,System Design,Swift,Apache,Cloud Computing,DSA,Kafka,MongoDB,CI/CD,Analytics,Athena,Airflow,Security,R,JIRA,Flask,,
System Administrator,Superset,Webpack,ETL,Scrum,JIRA,Jest,SQL,LESS,Confluence,,,,,,,,,
Platform Engineer,Scrum,GitLab,SQL,ROS,PySpark,FastAPI,Superset,Xamarin,GraphQL,Next.js,Bitbucket,NoSQL,Analytics,Confluence,Mocha,ElasticSearch,,
AR/VR Developer,Matlab,OOP,FPGA,Nginx,Security,Hadoop,AR,Flask,Next.js,BigQuery,CI/CD,Vulkan,System Design,Nuxt.js,ElasticSearch,CI,Redis,Xamarin
Compliance Engineer,Snowflake,ETL,Android,PySpark,Storybook,Communication,Mocha,Testing,Emacs,GraphQL,GitHub,,,,,,,
Site Reliability Engineer,Athena,Communication,Shell Scripting,GitLab,System Design,GraphQL,Confluence,Android,Webpack,Jupyter,TensorRT,Nginx,,,,,,
Cloud Engineer,Xamarin,FPGA,Nuxt.js,MongoDB,Testing,OpenGL,Spring Boot,LLVM,Jest,Flask,Redux,Android,Athena,NoSQL,Computer Vision,Analytics,Debugging,
DevOps Engineer,Debugging,SASS,Hadoop,iOS,JIRA,CI,Bitbucket,Spring Boot,,,,,,,,,,
Big Data Engineer,Bitbucket,Jupyter,Kafka,Webpack,Analytics,iOS,Flask,MongoDB,Emacs,Snowflake,Spring Boot,Superset,,,,,,
Robotics Engineer,GitLab,Xamarin,Matlab,Snowflake,Athena,Kafka,ETL,Confluence,Next.js,Testing,PySpark,OpenGL,,,,,,
Cybersecurity Analyst,FastAPI,iOS,Swift,Storybook,Snowflake,SASS,OpenGL,Testing,Computer Vision,Leadership,,,,,,,,
IT Project Manager,VSCode,Nginx,API Management,Android,Spark,CD,Airflow,Kotlin,Communication,Athena,GitLab,OpenGL,ROS,BigQuery,Debugging,Cloud Computing,Shell Scripting,
BI Developer,Swift,Scrum,Debugging,SQL,LLVM,Chai,Matlab,VR,Functional Programming,GraphQL,Redis,System Design,Agile,ETL,Bitbucket,Jest,,
IT Consultant,Testing,FPGA,GraphQL,NoSQL,Jupyter,Spring Boot,Matlab,Emacs,ETL,Nuxt.js,OpenGL,GitHub,,,,,,
Site Admin,Bitbucket,TensorRT,Nginx,NoSQL,Apache,ROS,ETL,Debugging,Next.js,Mocha,AR,Functional Programming,Security,LLVM,API Management,,,
VR Developer,RESTful API,Storybook,OpenGL,Agile,Math,Xamarin,API Management,ROS,CI,Emacs,FPGA,GitLab,Kafka,Django,,,,
QA Engineer,Storybook,Analytics,Superset,GraphQL,Debugging,System Design,OOP,Spring Boot,Math,Mocha,AR,VSCode,Xamarin,Testing,API Management,LLVM,Snowflake,
Game Designer,OpenGL,ElasticSearch,CD,Nuxt.js,VR,Communication,Confluence,NoSQL,Flask,API Management,AR,Swift,Simulink,,,,,
Cybersecurity Analyst,Spring Boot,LESS,OOP,Cloud Computing,Computer Vision,Shell Scripting,GraphQL,Debugging,ElasticSearch,Verilog,Storybook,Mocha,Bitbucket,GitHub,Emacs,Matlab,,
Integration Engineer,Android,Spark,Nginx,Communication,API Management,ETL,Jest,Xamarin,VSCode,,,,,,,,,
Technical Writer,MongoDB,AR,Communication,Jest,Xamarin,Nginx,FPGA,Scrum,Testing,Security,GitHub,Looker,Babel,Nuxt.js,Snowflake,Mocha,Superset,Emacs
Data Governance Specialist,iOS,OOP,ElasticSearch,GitLab,VR,BigQuery,Flask,JIRA,Jest,Debugging,Shell Scripting,Apache,ETL,,,,,
Scrum Master,Functional Programming,Kafka,OOP,Snowflake,Simulink,Shell Scripting,R,Airflow,,,,,,,,,,
Blockchain Developer,BigQuery,Linux CLI,Spring Boot,ETL,Apache,CD,Hibernate,NoSQL,VR,Hadoop,Looker,Debugging,Airflow,Analytics,,,,
DevOps Engineer,R,PySpark,VSCode,Emacs,GitLab,Webpack,Analytics,Matlab,Testing,Snowflake,MongoDB,API Management,FastAPI,GraphQL,Flask,Django,,
BI Developer,Superset,Emacs,Functional Programming,CD,Django,Android,SASS,Mocha,Scrum,Looker,Snowflake,Hadoop,Kotlin,API Management,Testing,,,
Network Engineer,Matlab,Athena,Functional Programming,Debugging,Computer Vision,Testing,Security,Agile,PySpark,DSA,LLVM,Apache,Vulkan,Leadership,SASS,CI/CD,Looker,
Test Engineer,Airflow,Swift,Webpack,Shell Scripting,Security,Django,CI/CD,Mocha,,,,,,,,,,
Database Administrator,Communication,Debugging,GitHub,Bitbucket,OpenGL,SASS,Nginx,Linux CLI,JIRA,Kafka,BigQuery,System Design,NoSQL,ElasticSearch,Redis,,,
Data Engineer,Communication,Android,API Management,Webpack,Confluence,MongoDB,ROS,Leadership,System Design,Verilog,Kotlin,Airflow,SQL,FPGA,Spring Boot,Superset,LLVM,Cloud Computing
Backend Developer,Bitbucket,Babel,SQL,Testing,MongoDB,LESS,API Management,Redis,TensorRT,Scrum,Next.js,GraphQL,Verilog,,,,,
System Administrator,Jest,Hibernate,Nuxt.js,Verilog,Testing,Confluence,Cloud Computing,Flask,Simulink,Leadership,,,,,,,,
Realtime System Engineer,MongoDB,Swift,BigQuery,Verilog,Scrum,JIRA,R,GitHub,SQL,Chai,Webpack,Spark,OpenGL,Android,Redux,LLVM,DSA,
Security Engineer,Kafka,Django,ElasticSearch,System Design,AR,Redis,iOS,RESTful API,Verilog,Math,LESS,Testing,Nuxt.js,API Management,Apache,OpenGL,,
NLP Engineer,Shell Scripting,LLVM,OOP,Android,Verilog,CD,ROS,Debugging,Security,GitHub,Babel,Kotlin,Flask,Emacs,API Management,ETL,,
Test Engineer,Nginx,Confluence,CD,Verilog,Matlab,Airflow,Functional Programming,Nuxt.js,Android,Communication,Agile,RESTful API,Testing,VSCode,Analytics,MongoDB,API Management,
Cloud Engineer,ElasticSearch,Scrum,Swift,LESS,Storybook,Linux CLI,Django,SASS,Matlab,Chai,Hadoop,JIRA,,,,,,
Test Engineer,GitHub,Emacs,SASS,VSCode,FastAPI,Jest,SQL,Leadership,Matlab,Athena,Nginx,MongoDB,Vulkan,Cloud Computing,Kotlin,Debugging,,
Business Intelligence Analyst,Linux CLI,Next.js,GitHub,TensorRT,Shell Scripting,Android,Confluence,Computer Vision,Nginx,VR,SQL,Jupyter,LLVM,,,,,
Web Developer,ETL,PySpark,Nuxt.js,GitLab,ROS,Nginx,DSA,Agile,Jupyter,FPGA,,,,,,,,
Frontend Developer,Hadoop,NoSQL,FastAPI,Django,Redis,Athena,Jest,VSCode,Security,Nuxt.js,Agile,Snowflake,Chai,,,,,
Data Governance Specialist,TensorRT,Cloud Computing,Jupyter,System Design,Looker,Snowflake,PySpark,Shell Scripting,Android,Confluence,Hadoop,Superset,,,,,,
Security Engineer,Kafka,SQL,Jest,Looker,FastAPI,Functional Programming,CI,Nginx,Verilog,Redis,LLVM,Apache,,,,,,
Tech Support Engineer,CI,CI/CD,Bitbucket,Debugging,VSCode,Hibernate,GraphQL,Spark,Linux CLI,SASS,,,,,,,,
DevOps Engineer,Looker,DSA,Athena,CD,ETL,Jupyter,Jest,GitHub,SASS,Confluence,CI,Android,Cloud Computing,,,,,
IoT Engineer,FPGA,Testing,OpenGL,ETL,LLVM,OOP,Chai,Leadership,CD,GraphQL,VSCode,FastAPI,Confluence,Vulkan,Redux,,,
IT Project Manager,Jest,Verilog,Babel,CI/CD,Scrum,Shell Scripting,Spark,Redux,OpenGL,R,JIRA,Nginx,iOS,BigQuery,LLVM,RESTful API,AR,Vulkan
Tech Support Engineer,OOP,Kotlin,Analytics,Linux CLI,Vulkan,JIRA,Xamarin,Redis,CD,Redux,Apache,Computer Vision,SQL,Superset,,,,
Cloud Security Engineer,RESTful API,Redis,LESS,Communication,Kotlin,CI,Flask,Confluence,Looker,,,,,,,,,
Game Designer,DSA,Debugging,Mocha,AR,Athena,R,Swift,iOS,Airflow,Looker,Matlab,Scrum,Spring Boot,Nginx,MongoDB,Verilog,Simulink,
Technical Lead,System Design,ElasticSearch,Simulink,Nginx,Redis,JIRA,Looker,R,Redux,,,,,,,,,
Robotics Engineer,Scrum,Athena,Hibernate,Cloud Computing,Snowflake,Nginx,Linux CLI,Hadoop,ETL,DSA,Airflow,,,,,,,
Game Developer,OOP,CD,Functional Programming,CI,Next.js,Babel,GitHub,Swift,Chai,Android,,,,,,,,
Frontend Developer,Webpack,R,ElasticSearch,Android,JIRA,Computer Vision,Communication,Mocha,OOP,Debugging,Xamarin,Matlab,Agile,LESS,,,,
Cloud Security Engineer,Chai,Debugging,Cloud Computing,Nginx,Communication,Functional Programming,Mocha,Analytics,Nuxt.js,TensorRT,Swift,MongoDB,Spring Boot,Testing,Computer Vision,RESTful API,Athena,
IT Support Specialist,Storybook,Simulink,PySpark,Computer Vision,Hadoop,ETL,Matlab,Shell Scripting,FastAPI,Nginx,CI,OOP,Airflow,Jupyter,Chai,DSA,Swift,Security
Game Designer,iOS,Chai,GitHub,GitLab,OpenGL,Vulkan,Django,Storybook,Superset,AR,Emacs,,,,,,,
Fullstack Developer,Storybook,OOP,Leadership,Hadoop,Spark,RESTful API,Kafka,Jest,Airflow,Babel,Athena,,,,,,,
Software Engineer,ROS,PySpark,Swift,Django,Kotlin,Redux,CI,AR,OOP,Snowflake,Leadership,Simulink,Next.js,Linux CLI,,,,
Database Administrator,NoSQL,Hadoop,CD,Flask,API Management,Vulkan,TensorRT,OpenGL,Hibernate,ETL,Analytics,Next.js,ROS,FastAPI,Babel,ElasticSearch,,
Blockchain Developer,Looker,Bitbucket,Communication,Agile,Apache,VSCode,Superset,Kafka,,,,,,,,,,
Embedded Systems Engineer,Airflow,Functional Programming,Verilog,Spring Boot,Storybook,Xamarin,Athena,Jest,System Design,ROS,Swift,BigQuery,,,,,,
Streaming Engineer,VSCode,Flask,PySpark,ElasticSearch,Scrum,CD,NoSQL,API Management,Storybook,Athena,Jupyter,Hadoop,System Design,Verilog,,,,
Infrastructure Engineer,Cloud Computing,GitLab,Jest,Next.js,JIRA,Shell Scripting,Confluence,Nginx,CD,Django,Simulink,Hadoop,GitHub,AR,Emacs,,,
Fullstack Developer,SQL,OpenGL,Emacs,Athena,GitHub,FPGA,Debugging,Nuxt.js,Django,CD,Superset,,,,,,,
VR Developer,DSA,Airflow,FPGA,Swift,SASS,Webpack,OpenGL,Matlab,Chai,AR,Security,Debugging,R,GraphQL,,,,
Cloud Engineer,SQL,MongoDB,TensorRT,Webpack,Testing,Apache,LESS,Spark,Nginx,OpenGL,Spring Boot,Cloud Computing,NoSQL,Kafka,,,,
NLP Engineer,Spark,Scrum,TensorRT,Flask,ElasticSearch,VR,Superset,Leadership,Nginx,Airflow,Kafka,Redux,Confluence,Babel,Apache,,,
Data Engineer,Shell Scripting,Math,Next.js,Chai,Simulink,VR,Confluence,Webpack,Hadoop,GraphQL,OpenGL,Django,CI,Testing,,,,
System Administrator,Confluence,CI/CD,AR,Analytics,Bitbucket,Django,Spring Boot,Communication,VSCode,NoSQL,Agile,API Management,,,,,,
Integration Engineer,Analytics,Bitbucket,Android,Debugging,SASS,Cloud Computing,Superset,OOP,R,Confluence,Simulink,VR,AR,,,,,
Ethical Hacker,GitLab,API Management,R,Apache,NoSQL,PySpark,Confluence,Spark,Communication,CI/CD,ETL,SASS,Scrum,CD,Webpack,Nuxt.js,ElasticSearch,
Technical Lead,Communication,Math,Matlab,Leadership,Nginx,Kotlin,Confluence,Hadoop,RESTful API,,,,,,,,,
Database Administrator,Redux,Snowflake,Babel,Shell Scripting,OpenGL,FastAPI,SQL,Spark,Spring Boot,CI/CD,Airflow,CD,,,,,,
System Administrator,System Design,Jupyter,Athena,DSA,CD,RESTful API,Communication,Analytics,Emacs,Simulink,SASS,Xamarin,CI,OpenGL,Testing,API Management,PySpark,
IoT Engineer,Linux CLI,Vulkan,Kafka,Swift,JIRA,ElasticSearch,Jest,Django,Superset,Spark,iOS,Verilog,Mocha,BigQuery,PySpark,CI,System Design,
Scrum Master,ElasticSearch,DSA,MongoDB,Confluence,FPGA,Agile,CI,R,Analytics,Xamarin,CI/CD,Redis,SQL,Kafka,Emacs,Verilog,,
Network Engineer,Emacs,TensorRT,ROS,Superset,API Management,Debugging,Hadoop,MongoDB,Shell Scripting,OpenGL,,,,,,,,
NLP Engineer,Swift,Matlab,Webpack,Django,API Management,Linux CLI,Shell Scripting,Analytics,Hibernate,GitLab,Jupyter,Hadoop,Computer Vision,Scrum,AR,ElasticSearch,Cloud Computing,
BI Developer,iOS,ETL,Spark,Shell Scripting,Babel,CI,Mocha,R,Superset,GraphQL,Debugging,Athena,Redis,System Design,,,,
Ethical Hacker,Spring Boot,LLVM,CI,NoSQL,Storybook,Jest,TensorRT,Testing,System Design,Emacs,Kotlin,Debugging,Athena,Snowflake,Spark,Apache,Matlab,Next.js
AI Researcher,Hibernate,Analytics,R,Webpack,LESS,Verilog,FPGA,Mocha,RESTful API,Testing,,,,,,,,
Game Designer,VR,Swift,NoSQL,Webpack,Bitbucket,GraphQL,Looker,Verilog,Xamarin,Kafka,CD,GitHub,Security,Nginx,,,,
Blockchain Developer,NoSQL,Superset,Redis,Bitbucket,SASS,Airflow,Redux,Communication,Verilog,CD,Babel,Shell Scripting,System Design,R,Xamarin,ROS,Next.js,FastAPI
Tech Evangelist,Django,ROS,Nuxt.js,Next.js,RESTful API,Debugging,BigQuery,OpenGL,Flask,CI/CD,Babel,,,,,,,
Data Engineer,OpenGL,Storybook,Android,NoSQL,LESS,Looker,Kotlin,Cloud Computing,iOS,Mocha,GitLab,,,,,,,
Data Analyst,Spring Boot,Snowflake,Kotlin,VR,Looker,Kafka,Apache,Cloud Computing,Communication,Superset,Functional Programming,BigQuery,,,,,,
