candidate_id,skills,qualification,experience_level,job_role
69,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
70,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
71,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
72,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
73,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
74,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
75,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
76,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
77,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
78,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
79,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
80,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
81,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
82,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
83,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
84,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
85,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
86,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
87,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
88,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
89,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
90,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
91,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
92,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
93,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
94,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
95,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
96,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
97,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
98,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
99,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
100,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
101,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
102,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
103,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
104,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
105,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
106,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
107,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
108,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
109,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
110,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
111,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
112,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
113,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
114,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
115,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
116,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
117,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
118,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
119,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
120,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
121,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
122,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
123,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
124,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
125,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
126,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
127,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
128,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
129,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
130,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
131,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
132,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
133,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
134,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
135,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
136,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
137,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
138,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
139,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
140,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
141,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
142,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
143,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
144,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
145,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
146,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
147,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
148,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
149,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
150,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
151,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
152,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
153,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
154,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
155,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
156,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
157,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
158,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
159,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
160,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
161,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
162,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
163,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
164,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
165,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
166,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
167,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
168,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
169,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
170,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
171,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
172,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
173,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
174,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
175,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
176,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
177,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
178,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
179,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
180,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
181,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
182,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
183,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
184,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
185,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
186,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
187,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
188,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
189,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
190,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
191,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
192,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
193,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
194,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
195,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
196,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
197,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
198,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
199,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
200,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
201,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
202,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
203,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
204,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
205,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
206,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
207,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
208,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
209,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
210,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
211,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
212,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
213,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
214,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
215,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
216,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
217,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
218,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
219,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
220,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
221,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
222,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
223,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
224,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
225,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
226,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
227,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
228,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
229,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
230,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
231,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
232,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
233,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
234,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
235,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
236,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
237,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
238,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
239,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
240,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
241,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
242,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
243,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
244,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
245,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
246,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
247,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
248,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
249,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
250,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
251,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
252,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
253,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
254,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
255,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
256,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
257,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
258,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
259,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
260,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
261,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
262,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
263,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
264,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
265,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
266,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
267,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
268,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
269,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
270,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
271,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
272,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
273,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
274,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
275,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
276,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
277,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
278,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
279,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
280,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
281,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
282,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
283,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
284,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
285,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
286,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
287,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
288,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
289,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
290,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
291,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
292,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
293,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
294,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
295,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
296,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
297,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
298,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
299,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
300,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
301,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
302,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
303,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
304,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
